iter	Passed	Remaining
881	1241	166
882	1242	164
883	1243	163
884	1243	161
885	1244	160
886	1244	158
887	1245	157
888	1246	155
889	1246	154
890	1247	152
891	1247	151
892	1248	149
893	1248	148
894	1249	146
895	1249	145
896	1250	143
897	1250	142
898	1251	140
899	1252	139
900	1252	137
901	1253	136
902	1253	134
903	1254	133
904	1254	131
905	1255	130
906	1256	128
907	1256	127
908	1257	125
909	1257	124
910	1258	122
911	1258	121
912	1259	119
913	1259	118
914	1260	117
915	1261	115
916	1261	114
917	1262	112
918	1262	111
919	1263	109
920	1263	108
921	1264	106
922	1264	105
923	1265	104
924	1265	102
925	1266	101
926	1267	99
927	1267	98
928	1268	96
929	1268	95
930	1269	94
931	1269	92
932	1270	91
933	1270	89
934	1271	88
935	1271	86
936	1272	85
937	1272	84
938	1273	82
939	1274	81
940	1274	79
941	1275	78
942	1276	77
943	1276	75
944	1277	74
945	1277	72
946	1278	71
947	1278	70
948	1279	68
949	1279	67
950	1280	65
951	1280	64
952	1281	63
953	1282	61
954	1283	60
955	1283	59
956	1284	57
957	1284	56
958	1285	54
959	1285	53
960	1286	52
961	1286	50
962	1287	49
963	1287	48
964	1288	46
965	1289	45
966	1289	44
967	1290	42
968	1290	41
969	1291	39
970	1291	38
971	1292	37
972	1293	35
973	1293	34
974	1294	33
975	1294	31
976	1295	30
977	1295	29
978	1296	27
979	1296	26
980	1297	25
981	1298	23
982	1298	22
983	1299	21
984	1300	19
985	1300	18
986	1301	17
987	1302	15
988	1302	14
989	1303	13
990	1303	11
991	1304	10
992	1304	9
993	1305	7
994	1305	6
995	1306	5
996	1306	3
997	1307	2
998	1307	1
999	1308	0
